"mean_phiN","mean_N","q_N","mean_phiR","mean_R","q_R","gammainv","mu","sigc","tauinv","k","sigk","m","sigm","error","opf","kr"
0.20574468154280304,2.3944449659158242,47.34596322239446,0.7713093258045978,0.8724728419852501,1.4111687362345617,0.1,1.,0.1,1.,1.,1.,1.,0.1,2.579114797085766e-18,0.16475333696342664,1.6232076996355675
0.040062659822869495,0.3443954417502216,5.329364080553578,0.7269854759573976,0.7455529518774814,1.114165059809698,1.1,1.,0.1,1.,1.,1.,1.,0.1,2.4221321195862376e-19,0.25722605575025304,1.4284695020297224
0.024127112120776856,0.19501400527072618,2.8664668762679826,0.7168343263592271,0.7172118621728103,1.049907261163013,2.1,1.,0.1,1.,1.,1.,1.,0.1,1.385077810668988e-19,0.2831487550062013,1.383379253078406
0.017619470781480403,0.13769187671079822,1.9672912773505131,0.7110445514043953,0.7011845248806081,1.013972874454657,3.1,1.,0.1,1.,1.,1.,1.,0.1,6.735477916664886e-20,0.2987554407298285,1.3576087168624142
0.01401010599109096,0.10701980730092903,1.4999076203248833,0.7070268153083171,0.6901246472832218,0.9893566960412818,4.1,1.,0.1,1.,1.,1.,1.,0.1,5.452833045667908e-20,0.3099366399851502,1.3397100280280658
0.011692452359076582,0.08780993484035993,1.2130652445676788,0.7039664004950466,0.6817355893316234,0.9707872328530275,5.1,1.,0.1,1.,1.,1.,1.,0.1,6.093636728374238e-20,0.31864626726226897,1.3260704827953793
0.010068727498242704,0.07460450224944083,1.0189130748029993,0.7015032758033377,0.6750068311846475,0.9559583852055903,6.1,1.,0.1,1.,1.,1.,1.,0.1,2.1622439925469418e-20,0.3257766467081811,1.3150908692487047
0.008863122657197917,0.0649474624920725,0.8786899246934545,0.6994472647003337,0.6694063631632576,0.9436614674950337,7.1,1.,0.1,1.,1.,1.,1.,0.1,2.0083891169743303e-20,0.3318105535000613,1.305925456997486
0.007929951968035379,0.057566427010537186,0.7726223757278996,0.697685945880965,0.6646205563755728,0.933186554498627,8.1,1.,0.1,1.,1.,1.,1.,0.1,2.5500522965563257e-20,0.3370387718677246,1.2980738913154513
0.007184694002910726,0.05173478719067064,0.689560337581643,0.6961474688763101,0.6604494337562501,0.9240823967403244,9.1,1.,0.1,1.,1.,1.,1.,0.1,9.178897842675335e-21,0.3416500223281793,1.2912161872060726
0.00657479935451561,0.04700676209595558,0.6227357009571727,0.6947831969198126,0.6567578969748338,0.9160449713517982,10.1,1.,0.1,1.,1.,1.,1.,0.1,7.19810892300382e-21,0.34577373052372096,1.2851356204140387
0.006065807143511383,0.043093348463693615,0.5678008866358124,0.6935587120484945,0.6534505202600867,0.9088600563943172,11.1,1.,0.1,1.,1.,1.,1.,0.1,7.02053742526534e-21,0.34950251036310753,1.279678773015605
