mean_phiN,mean_phiR,mean_N,q_N,mean_R,q_R,survive,mu,sigc,m,sigm,K,sigK,S,M,gamma,N_bar,qN_bar,R_bar,qR_bar,survive_bar,phiN_bar,phiR_bar,consumed_power,power_bar,opt_f,opt_f_bar
0.25,0.7786,2.183998546,32.17791306,0.879596771,1.42724094,0.25,1,0.1,1,0.1,1,1,10,100,0.1,0.985894404,23.02645323,0.053691888,0.161938249,0.104403065,0.104403065,0.032680881,19.52505414,8.492313983,0.151719844,0.067203716
0.075806452,0.7434,0.537668284,6.217930863,0.775681516,1.177895838,0.075806452,1,0.1,1,0.1,1,1,62,100,0.62,0.12890355,3.294752129,0.037053284,0.094266538,0.02645358,0.02645358,0.037073441,28.75828523,7.179941372,0.216377333,0.075544947
0.043859649,0.7242,0.331213905,4.400120447,0.736163713,1.102111171,0.043859649,1,0.1,1,0.1,1,1,114,100,1.14,0.082839608,2.194767088,0.025781428,0.087928818,0.013245324,0.013245324,0.037634559,31.25048815,7.719158264,0.262431318,0.092727162
0.034096386,0.7292,0.238171706,3.025706314,0.733278837,1.076581338,0.034096386,1,0.1,1,0.1,1,1,166,100,1.66,0.056741148,1.330657409,0.024861096,0.093803638,0.010124067,0.010124067,0.041368587,32.62829383,8.142388303,0.262883307,0.093845886
0.026880734,0.7172,0.191272483,2.633710764,0.718209017,1.039607484,0.026880734,1,0.1,1,0.1,1,1,218,100,2.18,0.043352094,1.458699357,0.026267954,0.068887805,0.007892575,0.007892575,0.027787767,34.22456935,7.550393419,0.291652841,0.083876391
0.022962963,0.7184,0.15553716,1.982943283,0.706839653,1.026047152,0.022962963,1,0.1,1,0.1,1,1,270,100,2.7,0.036591213,0.985482899,0.02563943,0.081672628,0.007181748,0.007181748,0.036130873,34.05016187,8.237555036,0.294067595,0.092025709
0.018819876,0.7064,0.136906375,1.878114622,0.6939391,0.994605371,0.018819876,1,0.1,1,0.1,1,1,322,100,3.22,0.029640063,1.11636572,0.024968855,0.084440608,0.005672613,0.005672613,0.03297029,35.43957122,7.843828758,0.314435996,0.106781838
0.017005348,0.715,0.113262162,1.420038935,0.694860393,0.987423399,0.017005348,1,0.1,1,0.1,1,1,374,100,3.74,0.024285044,0.627295599,0.024040807,0.075799548,0.005094548,0.005094548,0.03579106,34.52973413,7.42359995,0.297639007,0.081650438
0.015352113,0.6996,0.098858474,1.254627851,0.689321266,0.982050423,0.015352113,1,0.1,1,0.1,1,1,426,100,4.26,0.021700519,0.775678549,0.022180121,0.054658392,0.005559169,0.005559169,0.036494383,33.9409296,7.240956011,0.300218152,0.088891856
0.014979079,0.7102,0.094147205,1.0500503,0.686183573,0.958855136,0.014979079,1,0.1,1,0.1,1,1,478,100,4.78,0.01867296,0.498572278,0.014969803,0.061116021,0.003933054,0.003933054,0.03443777,36.04161752,7.013462285,0.311924079,0.085553374
0.014011299,0.7182,0.083272911,0.86803117,0.68700188,0.956807526,0.014011299,1,0.1,1,0.1,1,1,531,100,5.31,0.015932225,0.320044393,0.021730595,0.063745837,0.004297088,0.004297088,0.037983681,35.5071293,6.899373917,0.312944083,0.090831922
0.011423671,0.703,0.078068332,1.05772468,0.678229197,0.960798298,0.011423671,1,0.1,1,0.1,1,1,583,100,5.83,0.01376757,0.524146991,0.024243407,0.073777024,0.004053402,0.004053402,0.043554563,35.97591279,6.3223931,0.332191423,0.092145743
0.011401575,0.7018,0.073524672,0.883765496,0.671316547,0.951138951,0.011401575,1,0.1,1,0.1,1,1,635,100,6.35,0.014205461,0.42443057,0.020525674,0.062639871,0.003266493,0.003266493,0.039683246,37.27196416,7.341820521,0.330598385,0.097796518
0.010858806,0.7144,0.066502754,0.801751328,0.676055814,0.940808713,0.010858806,1,0.1,1,0.1,1,1,687,100,6.87,0.013624988,0.395858618,0.020185631,0.056344563,0.003231441,0.003231441,0.042433949,36.18834887,7.168070479,0.325739537,0.095168869
0.010202977,0.7118,0.062757348,0.736539807,0.672381154,0.931089643,0.010202977,1,0.1,1,0.1,1,1,739,100,7.39,0.009518058,0.284919028,0.020120771,0.062466147,0.002979578,0.002979578,0.040233817,36.83590368,5.075507885,0.328255074,0.080168104
0.009051833,0.7012,0.057489474,0.659680723,0.666317327,0.939163059,0.009051833,1,0.1,1,0.1,1,1,791,100,7.91,0.012188709,0.262312025,0.021081034,0.065341107,0.002941702,0.002941702,0.043018136,35.95897524,7.420645744,0.332171488,0.103203799
0.008659549,0.7018,0.053855647,0.665559636,0.663489844,0.925665385,0.008659549,1,0.1,1,0.1,1,1,843,100,8.43,0.008367064,0.290562025,0.014710098,0.06392384,0.002633879,0.002633879,0.039531759,35.22649728,5.648856058,0.326025722,0.078338454
0.008223464,0.7008,0.052671392,0.622290061,0.662748938,0.921704688,0.008223464,1,0.1,1,0.1,1,1,895,100,8.95,0.009693053,0.258296912,0.017132146,0.062309917,0.002496,0.002496,0.042513057,37.15109457,7.127892841,0.3398357,0.094487865
0.007391763,0.7024,0.047918745,0.577503146,0.656978792,0.906549265,0.007391763,1,0.1,1,0.1,1,1,947,100,9.47,0.008369388,0.315433002,0.023472917,0.059281755,0.002534319,0.002534319,0.041740149,35.19601765,6.288888395,0.317919236,0.088281724
0.00754,0.702,0.047296093,0.555886977,0.656216909,0.901248865,0.00754,1,0.1,1,0.1,1,1,1000,100,10,0.009169121,0.236970834,0.023259521,0.071434357,0.002531482,0.002531482,0.034698703,37.22941348,7.108242136,0.348156665,0.093371671
